"ID";"DESCRIPTION";"REACTION";"GPR";"REVERSIBLE";"LOWER.BOUND";"UPPER.BOUND";"OBJECTIVE"
"10FTHF5GLUtl";"5-glutamyl-10FTHF transport, lysosomal";"10fthf5glu[c] => 10fthf5glu[l] ";"";0;0;1000;0
"10FTHFtl";"10-Formyltetrahydrofolate lysosomal transport via diffusion";"10fthf[c] <=> 10fthf[l] ";"";1;-1000;1000;0
"10FTHFtm";"10-Formyltetrahydrofolate mitochondrial transport via diffusion";"10fthf[c] <=> 10fthf[m] ";"";1;-1000;1000;0
"13DAMPPOX";"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)";"13dampp[c] + h2o[c] + o2[c] => bamppald[c] + h2o2[c] + nh4[c] ";"( 8639 ) or ( 26 ) or ( 314 )";0;0;1000;0
"2AMACSULT";"2-Aminoacrylate sulfotransferase";"2amac[c] + nadph[c] + paps[c] => Lcyst[c] + nadp[c] + pap[c] ";"( 6818 )";0;0;1000;0
"2HBt2";"2-hydroxybutyrate cotransport with proton";"2hb[e] + h[e] <=> h[c] + 2hb[c] ";"( 9123 ) or ( 9194 ) or ( 6566 )";1;-1000;1000;0
"2HCO3_NAt";"bicarbonate transport (Na/HCO3 1:2 cotransport)";"2 hco3[e] + na1[e] <=> 2 hco3[c] + na1[c] ";"( 57835 ) or ( 8671 )";1;-1000;1000;0
"34DHPHEt";"3,4-Dihydroxy-L-phenylalanine transport";"34dhphe[e] <=> 34dhphe[c] ";"( 117247 )";1;-1000;1000;0
"34DHPLACOX";"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase";"h2o[c] + nad[c] + 34dhpac[c] => 2 h[c] + nadh[c] + 34dhpha[c] ";"( 218 ) or ( 222 ) or ( 220 ) or ( 221 )";0;0;1000;0
"34DHPLACOX_NADP_";"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase";"h2o[c] + nadp[c] + 34dhpac[c] <=> 2 h[c] + nadph[c] + 34dhpha[c] ";"( 222 ) or ( 221 ) or ( 218 )";1;-1000;1000;0
"34DHXMANDACOX";"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase";"h2o[c] + nad[c] + 34dhmald[c] => 2 h[c] + nadh[c] + 34dhoxmand[c] ";"( 221 ) or ( 218 ) or ( 220 )";0;0;1000;0
"34DHXMANDACOX_NADP_";"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase";"h2o[c] + nadp[c] + 34dhmald[c] <=> 2 h[c] + nadph[c] + 34dhoxmand[c] ";"( 221 ) or ( 222 )";1;-1000;1000;0
"35CGMPtn";"35cGMP nuclear transport";"35cgmp[c] <=> 35cgmp[n] ";"";1;-1000;1000;0
"3DSPHR";"3-Dehydrosphinganine reductase";"h[c] + nadph[c] + 3dsphgn[c] => nadp[c] + sphgn[c] ";"( 2531 )";0;0;1000;0
"3HKYNAKGAT";"3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase";"akg[c] + hLkynr[c] => 42A3HP24DB[c] + glu_L[c] ";"( 51166 ) or ( 883 )";0;0;1000;0
"3MOBt2im";"3-methyl-2-oxobutanoate mitochondrial transport via proton symport";"h[c] + 3mob[c] => h[m] + 3mob[m] ";"";0;0;1000;0
"3MOPt2im";"3-Methyl-2-oxopentanoate mitochondrial transport via proton symport";"h[c] + 3mop[c] => h[m] + 3mop[m] ";"";0;0;1000;0
"3MOX4HOXPGALDOX";"3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase";"h2o[c] + nad[c] + 3m4hpga[c] => 2 h[c] + nadh[c] + 3mox4hoxm[c] ";"( 222 ) or ( 220 ) or ( 221 ) or ( 218 )";0;0;1000;0
"3MOX4HOXPGALDOX_NADP_";"3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase";"h2o[c] + nadp[c] + 3m4hpga[c] <=> 2 h[c] + nadph[c] + 3mox4hoxm[c] ";"( 222 ) or ( 220 ) or ( 221 ) or ( 218 )";1;-1000;1000;0
"3SALAASPm";"cysteinesulfinate-aspartate mitochondrial shuttle";"3sala[m] + asp_L[c] <=> 3sala[c] + asp_L[m] ";"( 10165 ) or ( 8604 )";1;-1000;1000;0
"3SALATAim";"3-sulfino-alanine transaminase (irreversible), mitochondrial";"h[m] + akg[m] + 3sala[m] => glu_L[m] + 3snpyr[m] ";"( 2806 )";0;0;1000;0
"3SPYRSPm";"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial";"h2o[m] + 3snpyr[m] => h[m] + pyr[m] + so3[m] ";"";0;0;1000;0
"4ABUTtm";"4-aminobutanoate mitochondrial transport via diffusion";"4abut[c] <=> 4abut[m] ";"";1;-1000;1000;0
"4MOPt2im";"4-methyl-2-oxopentanoate mitochondrial transport  via proton symport";"h[c] + 4mop[c] => h[m] + 4mop[m] ";"";0;0;1000;0
"5HOXINDACTO2OX";"5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase";"h2o[c] + o2[c] + 5hoxindact[c] => h2o2[c] + h[c] + 5hoxindoa[c] ";"( 316 )";0;0;1000;0
"5HXKYNOXDA";"5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)";"o2[c] + 5hxkynam[c] => h2o2[c] + nh4[c] + 46dhoxquin[c] ";"( 4128 ) or ( 4129 )";0;0;1000;0
"5MTHFt";"5-Methyltetrahydrofolate transport via receptor binding and protolysis";"5mthf[e] <=> 5mthf[c] ";"( 2348 ) or ( 2352 )";1;-1000;1000;0
