"abbreviation"	"name"	"compartment"
"NAD"	"NAD"	"c, m, p, r, n, e"
"ethanol"	"ethanol"	"c, p"
"H"	"H"	"c, m, p, r, n, e, l, g"
"NADH"	"NADH"	"c, m, p, r"
"acetaldehyde"	"acetaldehyde"	"c, m, p"
"ATP"	"ATP"	"c, m, n, e, l, r, p, g"
"CoA"	"CoA"	"c, m, p, r, n, g, l"
"acetate"	"acetate"	"c, m, p, r, e, g"
"AMP"	"AMP"	"c, m, e, l, g, r, p, n"
"PPi"	"PPi"	"c, m, e, n, r, p"
"acetyl-CoA"	"acetyl-CoA"	"c, m, p, n, r, g"
"acetyladenylate"	"acetyladenylate"	"c"
"pyruvate"	"pyruvate"	"m, p, c, e"
"CO2"	"CO2"	"m, r, c, p, e, g"
"L-lactate"	"L-lactate"	"p, c, m, e"
"H2O"	"H2O"	"c, m, r, p, e, l, n, g"
"NADP"	"NADP"	"c, m, r, p, n, e"
"NADPH"	"NADPH"	"c, m, r, p, n"
"fructose-6-phosphate"	"fructose-6-phosphate"	"c"
"ADP"	"ADP"	"c, m, e, n, l, r, g"
"fructose-1,6-bisphosphate"	"fructose-1,6-bisphosphate"	"c"
"UTP"	"UTP"	"c, e, m, n"
"UDP"	"UDP"	"c, g, r, e, n, m, l"
"DHAP"	"DHAP"	"c, m, e, p"
"erythrose-4-phosphate"	"erythrose-4-phosphate"	"c"
"sedoheptulose-1,7-bisphosphate"	"sedoheptulose-1,7-bisphosphate"	"c"
"PEP"	"PEP"	"c, m"
"methylglyoxal"	"methylglyoxal"	"c"
"2-phospho-D-glycerate"	"2-phospho-D-glycerate"	"c"
"3-phospho-D-glycerate"	"3-phospho-D-glycerate"	"c, m"
"1,3-bisphospho-D-glycerate"	"1,3-bisphospho-D-glycerate"	"c"
"Pi"	"Pi"	"c, r, e, m, l, g, p, n"
"2,3-bisphospho-D-glycerate"	"2,3-bisphospho-D-glycerate"	"c"
"GAP"	"GAP"	"c"
"glucose"	"glucose"	"c, r, e, l, g"
"glucose-6-phosphate"	"glucose-6-phosphate"	"c, r"
"glucose-1-phosphate"	"glucose-1-phosphate"	"c"
"lipoamide"	"lipoamide"	"m"
"S-acetyldihydrolipoamide"	"S-acetyldihydrolipoamide"	"m"
"dihydrolipoamide"	"dihydrolipoamide"	"m, c"
"beta-D-glucose"	"beta-D-glucose"	"c"
"beta-D-glucose-6-phosphate"	"beta-D-glucose-6-phosphate"	"c"
"H2O2"	"H2O2"	"p, c, e, m, n, r, l"
"carbamoyl-phosphate"	"carbamoyl-phosphate"	"r, c, m"
"NH3"	"NH3"	"r, c, e, m, p, n"
"O2"	"O2"	"c, p, e, m, n, r"
"maltose"	"maltose"	"e, c, l"
"UDP-glucose"	"UDP-glucose"	"c, r, g"
"UDP-glucuronate"	"UDP-glucuronate"	"c, r, g"
"trehalose"	"trehalose"	"e"
"glycogeninG8"	"glycogeninG8"	"c"
"glycogeninG11"	"glycogeninG11"	"c"
"glycogen"	"glycogen"	"c"
"glycogeninG4G7"	"glycogeninG4G7"	"c"
"glycogeninG4G4"	"glycogeninG4G4"	"c"
"glycogeninG7G1"	"glycogeninG7G1"	"c"
"glycogeninG7"	"glycogeninG7"	"c"
"glycogenin"	"glycogenin"	"c"
"maltodecaose"	"maltodecaose"	"c, e"
"fructose"	"fructose"	"c, e"
"maltononaose"	"maltononaose"	"c, e"
"maltoheptaose"	"maltoheptaose"	"c, e"
"maltohexaose"	"maltohexaose"	"c, e"
"maltopentaose"	"maltopentaose"	"c, e"
"maltotetraose"	"maltotetraose"	"c, e"
"maltotriose"	"maltotriose"	"c, e, l"
"starchstructure1"	"starchstructure1"	"c"
"starchstructure2"	"starchstructure2"	"c"
"glucose-1,6-bisphosphate"	"glucose-1,6-bisphosphate"	"c"
"UDP-galactose"	"UDP-galactose"	"c, g, r"
"galactose"	"galactose"	"c, e, l"
"alpha-D-galactose-1-phosphate"	"alpha-D-galactose-1-phosphate"	"c"
"galactose-1-phosphate"	"galactose-1-phosphate"	"c"
"sucrose"	"sucrose"	"e"
"lactose"	"lactose"	"e, g"
"galactosylglycerol"	"galactosylglycerol"	"e"
"glycerol"	"glycerol"	"e, c, m"
"CDP"	"CDP"	"c, m, e, n, r"
"tagatose-1,6-bisphosphate"	"tagatose-1,6-bisphosphate"	"c"
"CTP"	"CTP"	"c, m, e, n"
"D-tagatose-6-phosphate"	"D-tagatose-6-phosphate"	"c"
"ITP"	"ITP"	"c, e, n, m"
"IDP"	"IDP"	"c, e, n, m"
"3-keto-beta-D-galactose"	"3-keto-beta-D-galactose"	"e"
"3-ketolactose"	"3-ketolactose"	"e"
"D-tagatose"	"D-tagatose"	"c"
"glyceraldehyde"	"glyceraldehyde"	"c, m"
"fructose-2,6-bisphosphate"	"fructose-2,6-bisphosphate"	"c"
"fructose-1-phosphate"	"fructose-1-phosphate"	"c"
"D-glucitol"	"D-glucitol"	"c, e, l, g"
"sorbitol-3-phosphate"	"sorbitol-3-phosphate"	"c"
"fructose-3-phosphate"	"fructose-3-phosphate"	"c"
"mannose-1-phosphate"	"mannose-1-phosphate"	"c"
"D-mannose-1,6-bisphosphate"	"D-mannose-1,6-bisphosphate"	"c"
"mannose-6-phosphate"	"mannose-6-phosphate"	"c"
"GDP"	"GDP"	"c, m, e, n, g"
"GDP-mannose"	"GDP-mannose"	"c"
"GTP"	"GTP"	"c, m, e, n"
"GDP-4-dehydro-6-deoxy-D-mannose"	"GDP-4-dehydro-6-deoxy-D-mannose"	"c"
"GDP-L-fucose"	"GDP-L-fucose"	"c, g"
"L-fucose-1-phosphate"	"L-fucose-1-phosphate"	"c"
"6-deoxy-L-galactose"	"6-deoxy-L-galactose"	"c, e, l"
"mannose"	"mannose"	"c, r, g, l, e"
"L-xylulose"	"L-xylulose"	"c"
"xylitol"	"xylitol"	"c"
"D-xylulose-5-phosphate"	"D-xylulose-5-phosphate"	"c"
"D-xylulose"	"D-xylulose"	"c"
"D-ribulose"	"D-ribulose"	"c"
"ribulose-5-phosphate"	"ribulose-5-phosphate"	"c, r"
"D-glucuronate1-phosphate"	"D-glucuronate1-phosphate"	"c"
"UMP"	"UMP"	"c, r, e, l, m, n, g"
"glucuronate"	"glucuronate"	"c, l"
"GSH"	"GSH"	"c, m, e, r, p"
"(R)-S-lactoylglutathione"	"(R)-S-lactoylglutathione"	"c, m"
"D-lactate"	"D-lactate"	"c, m, e"
"ferricytochromeC"	"ferricytochromeC"	"m, c"
"ferrocytochromeC"	"ferrocytochromeC"	"m, c"
"malate"	"malate"	"m, c"
"OAA"	"OAA"	"m, c, p"
