"abbreviation"	"name"	"equation"	"reversible"	"compartment"	"lowbnd"	"uppbnd"	"obj_coef"	"rule"	"subsystem"
"HMR_3905"	"HMR_3905"	"(1) NAD[c] + (1) ethanol[c] --> (1) H[c] + (1) NADH[c] + (1) acetaldehyde[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4097"	"HMR_4097"	"(1) ATP[c] + (1) CoA[c] + (1) acetate[c] --> (1) AMP[c] + (1) PPi[c] + (1) acetyl-CoA[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4099"	"HMR_4099"	"(1) ATP[m] + (1) CoA[m] + (1) acetate[m] --> (1) AMP[m] + (1) PPi[m] + (1) acetyl-CoA[m]"	"irreversible"	"m"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4108"	"HMR_4108"	"(1) CoA[c] + (1) acetyl adenylate[c] --> (1) AMP[c] + (1) acetyl-CoA[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4133"	"HMR_4133"	"(1) ATP[c] + (1) acetate[c] --> (1) PPi[c] + (1) acetyl adenylate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4137"	"HMR_4137"	"(1) CoA[m] + (1) NAD[m] + (1) pyruvate[m] --> (1) CO2[m] + (1) H[m] + (1) NADH[m] + (1) acetyl-CoA[m]"	"irreversible"	"m"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4281"	"HMR_4281"	"(1) H[p] + (1) NADH[p] + (1) pyruvate[p] <==> (1) L-lactate[p] + (1) NAD[p]"	"reversible"	"p"	"-1000"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4388"	"HMR_4388"	"(1) H[c] + (1) NADH[c] + (1) pyruvate[c] <==> (1) L-lactate[c] + (1) NAD[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4283"	"HMR_4283"	"(1) H2O[c] + (1) NADP[c] + (1) acetaldehyde[c] --> (1) H[c] + (1) NADPH[c] + (1) acetate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_8357"	"HMR_8357"	"(1) H2O[m] + (1) NAD[m] + (1) acetaldehyde[m] --> (1) H[m] + (1) NADH[m] + (1) acetate[m]"	"irreversible"	"m"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4379"	"HMR_4379"	"(1) ATP[c] + (1) fructose-6-phosphate[c] --> (1) ADP[c] + (1) fructose-1,6-bisphosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4301"	"HMR_4301"	"(1) UTP[c] + (1) fructose-6-phosphate[c] --> (1) UDP[c] + (1) fructose-1,6-bisphosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4355"	"HMR_4355"	"(1) DHAP[c] + (1) erythrose-4-phosphate[c] --> (1) sedoheptulose-1,7-bisphosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
