"","X.","RXNID","NAME","EQUATION","EC.NUMBER","GENE.ASSOCIATION","LOWER.BOUND","UPPER.BOUND","OBJECTIVE","COMPARTMENT","SUBSYSTEM","SBO.TERM","HEPATONET1.ID","REACTOME.ID","KEGG.ID","EHMN.ID","BIGG.DATABASE.ID","REFERENCES","COMMENTS"
"1","","HMR_3905",NA,"NAD+[c] + ethanol[c] => H+[c] + NADH[c] + acetaldehyde[c]","EC:1.1.1.1;EC:1.1.1.71","ENSG00000147576;ENSG00000172955;ENSG00000180011;ENSG00000187758;ENSG00000196344;ENSG00000196616;ENSG00000197894;ENSG00000198099;ENSG00000248144",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0187","","R00754","R00754C","ALCD2if","PMID:10868354;PMID:12491384;PMID:12818203;PMID:14674758;PMID:15289102;PMID:15299346;PMID:15327949;PMID:15682493;PMID:15713978",NA
"3","","HMR_4097",NA,"ATP[c] + CoA[c] + acetate[c] => AMP[c] + PPi[c] + acetyl-CoA[c]","EC:6.2.1.1","ENSG00000131069",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0066","","R00235","R00235C","ACS","PMID:10843999;PMID:11150295;PMID:2884217;PMID:4737256;PMID:5995",NA
"4","","HMR_4099",NA,"ATP[m] + CoA[m] + acetate[m] => AMP[m] + PPi[m] + acetyl-CoA[m]","EC:6.2.1.1","ENSG00000111058;ENSG00000154930",NA,NA,NA,"m","Glycolysis / Gluconeogenesis","SBO:0000176","r0067","","R00235","R00235C","ACSm","PMID:10843999;PMID:11150295;PMID:2884217;PMID:4737256;PMID:5995",NA
"5","","HMR_4108",NA,"CoA[c] + acetyl adenylate[c] => AMP[c] + acetyl-CoA[c]","EC:6.2.1.1","ENSG00000131069",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0068","","R00236","R00236C","","PMID:10843999;PMID:14086739;PMID:238571;PMID:2901103",NA
"6","","HMR_4133",NA,"ATP[c] + acetate[c] => PPi[c] + acetyl adenylate[c]","EC:6.2.1.1","ENSG00000131069",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0097","","R00316","R00316C","","PMID:10843999;PMID:14086739;PMID:238571;PMID:2901103",NA
"7","","HMR_4137",NA,"CoA[m] + NAD+[m] + pyruvate[m] => CO2[m] + H+[m] + NADH[m] + acetyl-CoA[m]","EC:1.2.4.1;EC:2.3.1.12;EC:1.8.1.4;EC:1.2.1.51","ENSG00000091140;ENSG00000110435;ENSG00000131828;ENSG00000150768;ENSG00000163114;ENSG00000168291",NA,NA,NA,"m","Glycolysis / Gluconeogenesis","SBO:0000176","r0056","","R00209","R00209C","PDHm","PMID:11079566;PMID:2643922;PMID:8548923",NA
"8","","HMR_4281",NA,"H+[p] + NADH[p] + pyruvate[p] <=> L-lactate[p] + NAD+[p]","EC:1.1.1.27","ENSG00000111716;ENSG00000151116;ENSG00000166796;ENSG00000166800;ENSG00000171989",NA,NA,NA,"p","Glycolysis / Gluconeogenesis","SBO:0000176","r0173","","R00703","R00703C","","PMID:12042361;PMID:17045662;PMID:7449128;PMID:9927705",NA
"9","","HMR_4388",NA,"H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c]","EC:1.1.1.27","ENSG00000111716;ENSG00000151116;ENSG00000166796;ENSG00000166800;ENSG00000171989",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0171","","R00703","R00703C","LDH_L","PMID:12042361;PMID:17045662;PMID:7449128;PMID:9927705",NA
"10","","HMR_4283",NA,"H2O[c] + NADP+[c] + acetaldehyde[c] => H+[c] + NADPH[c] + acetate[c]","EC:1.2.1.5","ENSG00000006534;ENSG00000108602;ENSG00000132746;ENSG00000184254",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0177","","R00711","R00711C","","PMID:16411662;PMID:2060039;PMID:7779080;PMID:8155713;PMID:8605195;PMID:9228057",NA
"11","","HMR_8357",NA,"H2O[m] + NAD+[m] + acetaldehyde[m] => H+[m] + NADH[m] + acetate[m]","EC:1.2.1.3","ENSG00000072210;ENSG00000111275;ENSG00000137124;ENSG00000143149;ENSG00000164904",NA,NA,NA,"m","Glycolysis / Gluconeogenesis","SBO:0000176","","","R00538","","ALDD2xm","",NA
