"ID";"DESCRIPTION";"REACTION";"GPR";"REVERSIBLE";"LOWER.BOUND";"UPPER.BOUND";"OBJECTIVE"
"2AMADPTm";"L-2-aminoadipate shuttle (cytosol/mitochondria)";"L2aadp[c] + akg[m] => L2aadp[m] + akg[c] ";"( 89874 )";0;0;0,374;0
"2OXOADOXm";"2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)";"2oxoadp[m] + coa[m] + nad[m] => co2[m] + glutcoa[m] + nadh[m] ";"( 1738 and 1743 and 4967 and 8050 )";0;0;6,544;0
"2OXOADPTm";"2-oxoadipate shuttle (cytosol/mitochondria)";"akg[m] + 2oxoadp[c] <=> akg[c] + 2oxoadp[m] ";"( 89874 )";1;-0,374;0,374;0
"34DHPHEt";"3,4-Dihydroxy-L-phenylalanine transport";"34dhphe[e] <=> 34dhphe[c] ";"( 117247 )";1;-0,436;0,436;0
"3HBCOAHLm";"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial";"h2o[m] + 3hibutcoa[m] => h[m] + coa[m] + 3hmp[m] ";"";0;0;23,512;0
"3HLYTCL";"3-Hydroxy-L-tyrosine carboxy-lyase";"h[c] + 34dhphe[c] => co2[c] + dopa[c] ";"( 1644 )";0;0;23,512;0
"5DHFtl";"5-glutamyl-DHF transport, lysosomal";"5dhf[c] => 5dhf[l] ";"";0;0;23,512;0
"AATAi";"2-aminoadipate transaminase, irreversible";"L2aadp[c] + akg[c] <=> 2oxoadp[c] + glu_L[c] ";"( 51166 )";1;-30,973;30,973;0
"ACALDtr";"acetaldehyde reversible transport (ER)";"acald[r] <=> acald[c] ";"";1;-23,512;23,512;0
"ACGALK";"N-acetylgalactosamine kinase";"atp[c] + acgal[c] => adp[c] + h[c] + acgal1p[c] ";"";0;0;23,512;0
"ACGALtlg";"N-acetyl-galactosamine intracellular transport";"acgal[g] <=> acgal[c] ";"";1;-23,512;23,512;0
"ACGBGBSIDEtg";"acgbgbside hs intracellular transport";"acgbgbside_hs[c] <=> acgbgbside_hs[g] ";"";1;-23,512;23,512;0
"ACGBGBSIDEtl";"acgbgbside hs intracellular transport";"acgbgbside_hs[c] <=> acgbgbside_hs[l] ";"";1;-23,512;23,512;0
