Q8NBJ5	2.4.1.50
P50750	2.7.11.22; 2.7.11.23
P16298	3.1.3.16
P33993	3.6.4.12
O60341	1.-.-.-
Q96T88	6.3.2.-
P36871	5.4.2.2
Q5HYK3	2.1.1.201
P11586	1.5.1.5; 3.5.4.9; 6.3.4.3
O00429	3.6.5.5
O00469	1.14.11.4
Q9UMS4	6.3.2.-
Q99798	4.2.1.3
P23368	1.1.1.38
Q15084	5.3.4.1
P21127	2.7.11.22
P06276	3.1.1.8
P23526	3.3.1.1
P23396	4.2.99.18
Q92499	3.6.4.13
Q13263	6.3.2.-
Q8IVL5	1.14.11.7
P49915	6.3.5.2
P37837	2.2.1.2
P33991	3.6.4.12
Q6UB35	6.3.4.3
Q15126	2.7.4.2
Q15181	3.6.1.1
P55072	3.6.4.6
P30041	1.11.1.15; 3.1.1.-; 1.11.1.9
O14773	3.4.14.9
Q9Y3I0	6.5.1.3
O00764	2.7.1.35
P12956	3.6.4.-; 4.2.99.-
P41252	6.1.1.5
Q01433	3.5.4.6
P06733	4.2.1.11
O94925	3.5.1.2
P23921	1.17.4.1
Q92820	3.4.19.9
P15586	3.1.6.14
Q6NYC1	1.14.11.-
Q02809	1.14.11.4
Q6NVY1	3.1.2.4
P24666	3.1.3.48; 3.1.3.2
Q9BZQ6	3.2.1.113
P00338	1.1.1.27
P22102	6.3.4.13; 6.3.3.1; 2.1.2.2
Q14697	3.2.1.84
O15460	1.14.11.2
P06737	2.4.1.1
P07237	5.3.4.1
P13667	5.3.4.1
Q6L8Q7	3.1.4.-; 3.1.13.4
P60842	3.6.4.13
Q9NVP1	3.6.4.13
P54886	2.7.2.11; 1.2.1.41
P52789	2.7.1.1
Q02750	2.7.12.2
P45974	3.4.19.12
P25205	3.6.4.12
Q32P28	1.14.11.7
Q13724	3.2.1.106
O14818	3.4.25.1
O00571	3.6.4.13
P26639	6.1.1.3
Q14554	5.3.4.1
Q14318	5.2.1.8
Q9Y617	2.6.1.52
P11908	2.7.6.1
O60568	1.14.11.4
P33992	3.6.4.12
O95747	2.7.11.1
Q92841	3.6.4.13
P13674	1.14.11.2
Q9P289	2.7.11.1
P54577	6.1.1.1
Q9BVS5	2.1.1.220
P54136	6.1.1.19
P04406	1.2.1.12; 2.6.99.-
O00116	2.5.1.26
O43252	2.7.7.4; 2.7.1.25
P08559	1.2.4.1
P49589	6.1.1.16
Q96DE0	3.6.1.62; 3.6.1.-
P31040	1.3.5.1
Q00535	2.7.11.1
P23381	6.1.1.2
P14618	2.7.1.40
O60701	1.1.1.22
P47897	6.1.1.18
P50579	3.4.11.18
Q08211	3.6.4.13
P42126	5.3.3.8
P62136	3.1.3.16
Q13011	5.3.3.-
Q15046	6.1.1.6
Q9GZZ1	2.3.1.-
P07195	1.1.1.27
P54687	2.6.1.42
P07947	2.7.10.2
Q9UKK9	3.6.1.13; 3.6.1.58
Q9NSE4	6.1.1.5
P11217	2.4.1.1
P55786	3.4.11.14
P56192	6.1.1.10
Q8IVL6	1.14.11.7
P31939	2.1.2.3; 3.5.4.10
O15067	6.3.5.3
Q06210	2.6.1.16
O75390	2.3.3.1
Q14566	3.6.4.12
P58215	1.4.3.-
P12081	6.1.1.21
O43143	3.6.4.13
O00754	3.2.1.24
P41227	2.3.1.-; 2.3.1.88
P49736	3.6.4.12
P41250	6.1.1.14
P29401	2.2.1.1
P17812	6.3.4.2
P12268	1.1.1.205
P06576	3.6.3.14
P48147	3.4.21.26
P09874	2.4.2.30
P49327	2.3.1.85; 2.3.1.38; 2.3.1.39; 2.3.1.41; 1.1.1.100; 4.2.1.59; 1.3.1.39; 3.1.2.14
Q9NUU7	3.6.4.13
P13010	3.6.4.-
P49588	6.1.1.7
P19367	2.7.1.1
P50570	3.6.5.5
P00505	2.6.1.1; 2.6.1.7
P30101	5.3.4.1
Q9NR30	3.6.4.13
P28074	3.4.25.1
Q00534	2.7.11.22
Q96AY3	5.2.1.8
P78330	3.1.3.3
P53396	2.3.3.8
P22234	6.3.2.6; 4.1.1.21
P04075	4.1.2.13
P49748	1.3.8.9
O60313	3.6.5.5
Q8IXB1	1.8.4.-
P38919	3.6.4.13
P17844	3.6.4.13
Q02790	5.2.1.8
Q9P2R7	6.2.1.5
P10515	2.3.1.12
P31153	2.5.1.6
Q13838	3.6.4.13
Q06203	2.4.2.14
Q9C0C9	6.3.2.-; 6.3.2.19
Q92900	3.6.4.-
P55265	3.5.4.37
Q6P4A8	3.1.1.-
P36873	3.1.3.16
Q9UHQ9	1.6.2.2
Q8NBU5	3.6.1.3
Q96TA2	3.4.24.-
P22570	1.18.1.6
Q13547	3.5.1.98
Q9NUJ1	3.1.1.93
Q9H0S4	3.6.4.13
P09622	1.8.1.4
O43175	1.1.1.95
P11413	1.1.1.49
O60762	2.4.1.83
P49366	2.5.1.46
Q13557	2.7.11.17
P14324	2.5.1.10; 2.5.1.1
Q93009	3.4.19.12
P51570	2.7.1.6
P42765	2.3.1.16
